date,year,home_team,away_team,score,home_score,away_score,tournament,tournament_type,neutral,stage,predicted,actual,predicted_idx,actual_idx,correct,confidence,actual_prob,p_home,p_draw,p_away,train_matches
2014-01-01,2014,Kuwait,Jordan,1-2,1,2,WAFF Championship,Other,True,0,Draw,Away win,1,2,False,0.351539879432676,0.3037845692983054,0.34467555126901855,0.351539879432676,0.3037845692983054,37558
2014-01-04,2014,Bahrain,Jordan,0-1,0,1,WAFF Championship,Other,True,0,Away win,Away win,2,2,True,0.34726831199208996,0.34726831199208996,0.3076569364599677,0.3450747515479423,0.34726831199208996,37558
2014-01-04,2014,Namibia,Ghana,0-1,0,1,Friendly,Friendly,False,0,Away win,Away win,2,2,True,0.6455067921334475,0.6455067921334475,0.09031231924958154,0.26418088861697087,0.6455067921334475,37558
2014-01-04,2014,Nigeria,Ethiopia,2-1,2,1,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.8515639522458391,0.8515639522458391,0.8515639522458391,0.11889014334539659,0.029545904408764267,37558
2014-01-04,2014,Qatar,Kuwait,3-0,3,0,WAFF Championship,Other,False,0,Home win,Home win,0,0,True,0.38084860421380556,0.38084860421380556,0.38084860421380556,0.32439271486120846,0.29475868092498597,37558
2014-01-07,2014,Bahrain,Kuwait,0-0,0,0,WAFF Championship,Other,True,0,Away win,Draw,2,1,False,0.3518566458091639,0.3432967467065111,0.3048466074843249,0.3432967467065111,0.3518566458091639,37558
2014-01-07,2014,Qatar,Jordan,2-0,2,0,WAFF Championship,Other,False,0,Home win,Home win,0,0,True,0.3978062104540449,0.3978062104540449,0.3978062104540449,0.32939808354389927,0.2727957060020559,37558
2014-01-07,2014,Zimbabwe,Gabon,2-0,2,0,Friendly,Friendly,True,0,Away win,Home win,2,0,False,0.425074576873012,0.2339339704211295,0.2339339704211295,0.3409914527058585,0.425074576873012,37558
2014-01-15,2014,Moldova,Norway,1-2,1,2,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.586283577101684,0.586283577101684,0.12958669851749569,0.28412972438082035,0.586283577101684,37558
2014-01-17,2014,Moldova,Sweden,1-2,1,2,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.6885728281098478,0.6885728281098478,0.09165497134211698,0.2197722005480352,0.6885728281098478,37558
2014-01-18,2014,Norway,Poland,0-3,0,3,Friendly,Friendly,True,0,Draw,Away win,1,2,False,0.35518002602836257,0.3180204687202153,0.3267995052514222,0.35518002602836257,0.3180204687202153,37558
2014-01-20,2014,Moldova,Poland,0-1,0,1,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.6091099440762815,0.6091099440762815,0.11362116211914759,0.27726889380457104,0.6091099440762815,37558
2014-01-21,2014,Iceland,Sweden,0-2,0,2,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.6217491402869768,0.6217491402869768,0.13752711147739227,0.24072374823563092,0.6217491402869768,37558
2014-01-22,2014,Chile,Costa Rica,4-0,4,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.565590326265591,0.565590326265591,0.565590326265591,0.2704569444932865,0.16395272924112247,37558
2014-01-24,2014,Oman,Finland,0-0,0,0,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.39760009177218036,0.35274289326158254,0.39760009177218036,0.35274289326158254,0.24965701496623713,37558
2014-01-25,2014,Costa Rica,Korea Republic,0-1,0,1,Friendly,Friendly,True,0,Draw,Away win,1,2,False,0.3622197835748886,0.3162739420004847,0.3215062744246267,0.3622197835748886,0.3162739420004847,37558
2014-01-29,2014,Mexico,Korea Republic,4-0,4,0,Friendly,Friendly,True,0,Home win,Home win,0,0,True,0.5119400001063656,0.5119400001063656,0.5119400001063656,0.28196950082400996,0.20609049906962434,37558
2014-01-31,2014,Oman,Jordan,0-0,0,0,AFC Asian Cup qualification,Qualifier,False,0,Home win,Draw,0,1,False,0.39729853547411664,0.368968023564632,0.39729853547411664,0.368968023564632,0.23373344096125145,37558
2014-02-01,2014,USA,Korea Republic,2-0,2,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.5077958851911637,0.5077958851911637,0.5077958851911637,0.2784694385286674,0.2137346762801689,37558
2014-02-04,2014,Singapore,Jordan,1-3,1,3,AFC Asian Cup qualification,Qualifier,False,0,Away win,Away win,2,2,True,0.5346780220979197,0.5346780220979197,0.20295864022801108,0.26236333767406916,0.5346780220979197,37558
2014-02-19,2014,Lebanon,Pakistan,3-1,3,1,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.8511137537381099,0.8511137537381099,0.8511137537381099,0.11754656858231247,0.03133967767957756,37558
2014-02-21,2014,Iraq,Korea DPR,2-0,2,0,Friendly,Friendly,True,0,Draw,Home win,1,0,False,0.3728145550884007,0.30352171699610486,0.30352171699610486,0.3728145550884007,0.32366372791549436,37558
2014-02-23,2014,Sealand,Chagos Islands,4-2,4,2,Friendly,Friendly,True,0,Away win,Home win,2,0,False,0.39487348390049337,0.28199665628182874,0.28199665628182874,0.3231298598176779,0.39487348390049337,37558
2014-03-01,2014,Gibraltar,Faroe Islands,1-4,1,4,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.9443180671371916,0.008743613517347391,0.9443180671371916,0.04693831934546103,0.008743613517347391,37558
2014-03-01,2014,Malaysia,Philippines,0-0,0,0,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.506518287240606,0.3100678650951732,0.506518287240606,0.3100678650951732,0.1834138476642208,37558
2014-03-03,2014,IR Iran,Kuwait,3-2,3,2,AFC Asian Cup qualification,Qualifier,False,0,Home win,Home win,0,0,True,0.6562858893121317,0.6562858893121317,0.6562858893121317,0.2371930681417637,0.10652104254610459,37558
2014-03-05,2014,Albania,Malta,2-0,2,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.7045214686538294,0.7045214686538294,0.7045214686538294,0.21698757993415543,0.07849095141201529,37558
2014-03-05,2014,Algeria,Slovenia,2-0,2,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.3857061269355462,0.3857061269355462,0.3857061269355462,0.34215958137394714,0.27213429169050674,37558
2014-03-05,2014,Andorra,Moldova,0-3,0,3,Friendly,Friendly,False,0,Away win,Away win,2,2,True,0.6390150015897712,0.6390150015897712,0.06438999963723059,0.2965949987729982,0.6390150015897712,37558
2014-03-05,2014,Australia,Ecuador,3-4,3,4,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.4078043954817325,0.4078043954817325,0.2786274972597511,0.3135681072585164,0.4078043954817325,37558
2014-03-05,2014,Austria,Uruguay,1-1,1,1,Friendly,Friendly,False,0,Away win,Draw,2,1,False,0.6370216460874302,0.2436798619860816,0.11929849192648818,0.2436798619860816,0.6370216460874302,37558
2014-03-05,2014,Belgium,Côte d'Ivoire,2-2,2,2,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.3623901228239642,0.29767096833200635,0.3623901228239642,0.29767096833200635,0.33993890884402944,37558
2014-03-05,2014,Bosnia and Herzegovina,Egypt,0-2,0,2,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.3791784193760711,0.3791784193760711,0.325593813801682,0.29522776682224694,0.3791784193760711,37558
2014-03-05,2014,Botswana,South Sudan,3-0,3,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.40946747093961544,0.40946747093961544,0.40946747093961544,0.3239162639373572,0.2666162651230274,37558
2014-03-05,2014,Bulgaria,Belarus,2-1,2,1,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.5031758558269246,0.5031758558269246,0.5031758558269246,0.29267155978959786,0.20415258438347753,37558
2014-03-05,2014,Burkina Faso,Comoros,1-1,1,1,Friendly,Friendly,True,0,Home win,Draw,0,1,False,0.9078445910276512,0.0786548112596944,0.9078445910276512,0.0786548112596944,0.01350059771265441,37558
2014-03-05,2014,Burundi,Rwanda,1-1,1,1,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.3854204387426158,0.343431055729202,0.3854204387426158,0.343431055729202,0.2711485055281822,37558
2014-03-05,2014,Colombia,Tunisia,1-1,1,1,Friendly,Friendly,True,0,Home win,Draw,0,1,False,0.693694147087335,0.22136456546085714,0.693694147087335,0.22136456546085714,0.08494128745180793,37558
2014-03-05,2014,Cyprus,Northern Ireland,0-0,0,0,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.38240080696725126,0.34671147656891305,0.38240080696725126,0.34671147656891305,0.27088771646383564,37558
2014-03-05,2014,Czech Republic,Norway,2-2,2,2,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.5155537571412185,0.3151704231900324,0.5155537571412185,0.3151704231900324,0.16927581966874916,37558
2014-03-05,2014,England,Denmark,1-0,1,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.6458144982187045,0.6458144982187045,0.6458144982187045,0.2263390079602946,0.127846493821001,37558
2014-03-05,2014,France,Netherlands,2-0,2,0,Friendly,Friendly,False,0,Draw,Home win,1,0,False,0.3680671633657261,0.33347774913858413,0.33347774913858413,0.3680671633657261,0.2984550874956899,37558
2014-03-05,2014,Georgia,Liechtenstein,2-0,2,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.7382475532016045,0.7382475532016045,0.7382475532016045,0.20400215524201515,0.05775029155638037,37558
2014-03-05,2014,Germany,Chile,1-0,1,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.4774212804908946,0.4774212804908946,0.4774212804908946,0.2653294005496813,0.2572493189594241,37558
2014-03-05,2014,Gibraltar,Estonia,0-2,0,2,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.7180793911808424,0.08905020472410424,0.7180793911808424,0.19287040409505338,0.08905020472410424,37558
2014-03-05,2014,Greece,Korea Republic,0-2,0,2,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.35879129747532507,0.29347839290698563,0.35879129747532507,0.3477303096176893,0.29347839290698563,37558
2014-03-05,2014,Hungary,Finland,1-2,1,2,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.46067407462385235,0.24921609801072298,0.46067407462385235,0.2901098273654247,0.24921609801072298,37558
2014-03-05,2014,India,Bangladesh,2-2,2,2,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.6236298960596985,0.2546969863126487,0.6236298960596985,0.2546969863126487,0.12167311762765279,37558
2014-03-05,2014,IR Iran,Guinea,1-2,1,2,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.7456181890050103,0.082687519634509,0.7456181890050103,0.1716942913604807,0.082687519634509,37558
2014-03-05,2014,Iraq,China,3-1,3,1,AFC Asian Cup qualification,Qualifier,True,0,Away win,Home win,2,0,False,0.3622709631294383,0.3002714423842161,0.3002714423842161,0.3374575944863456,0.3622709631294383,37558
2014-03-05,2014,Israel,Slovakia,1-3,1,3,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.4268100948443174,0.26915067477561117,0.4268100948443174,0.30403923038007147,0.26915067477561117,37558
2014-03-05,2014,Japan,New Zealand,4-2,4,2,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.6520295172892753,0.6520295172892753,0.6520295172892753,0.22250504586752526,0.12546543684319952,37558
2014-03-05,2014,Jordan,Syria,2-1,2,1,AFC Asian Cup qualification,Qualifier,False,0,Home win,Home win,0,0,True,0.49755622746311434,0.49755622746311434,0.49755622746311434,0.30148551375128285,0.20095825878560278,37558
2014-03-05,2014,Kazakhstan,Lithuania,1-1,1,1,Friendly,Friendly,True,0,Away win,Draw,2,1,False,0.3799265022876814,0.34094053665462465,0.27913296105769403,0.34094053665462465,0.3799265022876814,37558
2014-03-05,2014,Kosovo,Haiti,0-0,0,0,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.39702638718517075,0.31788409458077876,0.39702638718517075,0.31788409458077876,0.2850895182340506,37558
2014-03-05,2014,Luxembourg,Cape Verde,0-0,0,0,Friendly,Friendly,False,0,Away win,Draw,2,1,False,0.6019472696872081,0.281616579630026,0.11643615068276592,0.281616579630026,0.6019472696872081,37558
2014-03-05,2014,Malawi,Zimbabwe,1-4,1,4,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.38241386918252107,0.28065785235667134,0.38241386918252107,0.33692827846080764,0.28065785235667134,37558
2014-03-05,2014,Mali,Senegal,1-1,1,1,Friendly,Friendly,True,0,Away win,Draw,2,1,False,0.40451987850199617,0.32638322808810505,0.26909689340989873,0.32638322808810505,0.40451987850199617,37558
2014-03-05,2014,Mauritania,Niger,1-1,1,1,Friendly,Friendly,False,0,Draw,Draw,1,1,True,0.37676707926930175,0.37676707926930175,0.33693589344179564,0.37676707926930175,0.28629702728890255,37558
2014-03-05,2014,Montenegro,Ghana,1-0,1,0,Friendly,Friendly,False,0,Away win,Home win,2,0,False,0.4415095856691489,0.23711741054457156,0.23711741054457156,0.32137300378627964,0.4415095856691489,37558
2014-03-05,2014,Morocco,Gabon,1-1,1,1,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.5193049932102104,0.29952144977301043,0.5193049932102104,0.29952144977301043,0.18117355701677915,37558
2014-03-05,2014,Mozambique,Angola,1-1,1,1,Friendly,Friendly,False,0,Away win,Draw,2,1,False,0.3992383918472824,0.36033472603565625,0.24042688211706134,0.36033472603565625,0.3992383918472824,37558
2014-03-05,2014,Namibia,Tanzania,1-1,1,1,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.3871415284572821,0.356333077588559,0.3871415284572821,0.356333077588559,0.256525393954159,37558
2014-03-05,2014,North Macedonia,Latvia,2-1,2,1,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.5167634638318792,0.5167634638318792,0.5167634638318792,0.3028305008648748,0.18040603530324606,37558
2014-03-05,2014,Oman,Singapore,3-1,3,1,AFC Asian Cup qualification,Qualifier,False,0,Home win,Home win,0,0,True,0.7446518524398587,0.7446518524398587,0.7446518524398587,0.19268861290417252,0.06265953465596891,37558
2014-03-05,2014,Philippines,Azerbaijan,0-1,0,1,Friendly,Friendly,True,0,Away win,Away win,2,2,True,0.4416248448984339,0.4416248448984339,0.22016413754514502,0.3382110175564211,0.4416248448984339,37558
2014-03-05,2014,Poland,Scotland,0-1,0,1,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.452659254255481,0.22719639858485666,0.452659254255481,0.3201443471596624,0.22719639858485666,37558
2014-03-05,2014,Portugal,Cameroon,5-1,5,1,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.6153260290992258,0.6153260290992258,0.6153260290992258,0.2563543667629326,0.12831960413784163,37558
2014-03-05,2014,Qatar,Bahrain,0-0,0,0,AFC Asian Cup qualification,Qualifier,False,0,Home win,Draw,0,1,False,0.422259422323637,0.33201520390463096,0.422259422323637,0.33201520390463096,0.2457253737717321,37558
2014-03-05,2014,Ireland,Serbia,1-2,1,2,Friendly,Friendly,False,0,Home win,Away win,0,2,False,0.37122747121031086,0.279835294257954,0.37122747121031086,0.34893723453173503,0.279835294257954,37558
2014-03-05,2014,Romania,Argentina,0-0,0,0,Friendly,Friendly,False,0,Away win,Draw,2,1,False,0.5976247527983194,0.25435786017252143,0.14801738702915923,0.25435786017252143,0.5976247527983194,37558
2014-03-05,2014,Russia,Armenia,2-0,2,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.7494006700909204,0.7494006700909204,0.7494006700909204,0.1797240395054165,0.07087529040366314,37558
2014-03-05,2014,Saint Lucia,Jamaica,0-5,0,5,Friendly,Friendly,False,0,Away win,Away win,2,2,True,0.78383826302222,0.78383826302222,0.06446010588069626,0.15170163109708373,0.78383826302222,37558
2014-03-05,2014,Saudi Arabia,Indonesia,1-0,1,0,AFC Asian Cup qualification,Qualifier,False,0,Home win,Home win,0,0,True,0.7656526906766816,0.7656526906766816,0.7656526906766816,0.17366049907344547,0.06068681024987288,37558
2014-03-05,2014,South Africa,Brazil,0-5,0,5,Friendly,Friendly,False,0,Away win,Away win,2,2,True,0.7073476569462345,0.7073476569462345,0.07069934935608159,0.22195299369768398,0.7073476569462345,37558
2014-03-05,2014,Spain,Italy,1-0,1,0,Friendly,Friendly,False,0,Home win,Home win,0,0,True,0.6006372090388217,0.6006372090388217,0.6006372090388217,0.2743074769355607,0.1250553140256176,37558
2014-03-05,2014,Switzerland,Croatia,2-2,2,2,Friendly,Friendly,False,0,Home win,Draw,0,1,False,0.38511134564294897,0.3363232343206625,0.38511134564294897,0.3363232343206625,0.2785654200363886,37558
2014-03-05,2014,Thailand,Lebanon,2-5,2,5,AFC Asian Cup qualification,Qualifier,False,0,Home win,Away win,0,2,False,0.5304598141674268,0.19129355815423205,0.5304598141674268,0.27824662767834113,0.19129355815423205,37558
