country,iso3,wc_year,won_wc,runner_up,semifinalist,finalist,top4,is_host,is_winner,wc_titles_before,wc_finals_before,wc_semifinals_before,wc_participations_before,years_since_last_wc,years_since_last_win,years_since_last_final,num_teams_in_tournament,total_goals_in_tournament,avg_goals_per_match,confederation,gdp_per_capita,gdp_total,gdp_growth,gdp_per_capita_rank,gdp_total_rank,population,population_log,population_rank,population_growth,urbanization_pct,pop_density,pop_pct_young,life_expectancy,infant_mortality,under5_mortality,health_spending_pct_gdp,physicians_per_1000,literacy_rate,edu_spending_pct_gdp,secondary_enrollment,tertiary_enrollment,govt_effectiveness,rule_of_law,control_corruption,political_stability,voice_accountability,regulatory_quality,internet_users_pct,electricity_access_pct,air_transport_passengers,trade_pct_gdp,inflation,unemployment,investment_pct_gdp,fdi_pct_gdp,govt_spending_pct_gdp,military_spending_pct_gdp,military_personnel,gini_index,rd_spending_pct_gdp,scientific_articles,gdp_per_capita_vs_winner,population_vs_winner,gdp_per_capita_log,gdp_total_log,is_europe,is_south_america,is_africa,is_asia,is_north_america,is_oceania,football_tradition,fifa_rank,fifa_rank_inverse,elo_rating,gdp_per_capita_vs_avg,population_vs_avg,football_power_index,is_former_champion,decade,is_strong_europe,is_strong_sa
Romania,ROU,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,40,,,1620.0,,,18.6,0,1930,0,0
Peru,PER,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,10,,,1600.0,,,9.0,0,1930,0,0
Bolivia,BOL,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,10,,,1500.0,,,6.0,0,1930,0,0
Paraguay,PRY,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,10,,,1580.0,,,8.399999999999999,0,1930,0,0
Yugoslavia,SRB,1930,0,0,1,0,1,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,52,,,1700.0,,,24.6,0,1930,0,0
Brazil,BRA,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,100,,,1760.0,,,40.8,1,1930,0,1
Uruguay,URY,1930,1,0,0,1,1,1,1,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,80,,,1880.0,,,38.4,1,1930,0,1
France,FRA,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,90,,,1700.0,,,36.0,1,1930,1,0
Chile,CHL,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,53,,,1640.0,,,23.099999999999998,0,1930,0,0
Belgium,BEL,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,70,,,1640.0,,,28.2,0,1930,0,0
Argentina,ARG,1930,0,1,0,1,1,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,92,,,1860.0,,,41.4,1,1930,0,1
Mexico,MEX,1930,0,0,0,0,0,0,0,0,0,0,0,99,99,99,13,70,3.888888888888889,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,55,,,1520.0,,,20.1,0,1930,0,0
Netherlands,NLD,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82,,,1660.0,,,32.4,0,1930,1,0
Switzerland,CHE,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,60,,,1680.0,,,26.4,0,1930,0,0
Austria,AUT,1934,0,0,1,0,1,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,43,,,1880.0,,,27.299999999999997,0,1930,0,0
Sweden,SWE,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,48,,,1700.0,,,23.4,0,1930,0,0
Brazil,BRA,1934,0,0,0,0,0,0,0,0,0,0,1,4,99,99,16,70,4.117647058823529,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,100,,,1700.0,,,39.0,1,1930,0,1
France,FRA,1934,0,0,0,0,0,0,0,0,0,0,1,4,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,90,,,1700.0,,,36.0,1,1930,1,0
Czechoslovakia,CZE,1934,0,1,0,1,1,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,45,,,1800.0,,,25.5,0,1930,0,0
Hungary,HUN,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,10,,,1760.0,,,13.799999999999999,0,1930,0,0
Belgium,BEL,1934,0,0,0,0,0,0,0,0,0,0,1,4,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,70,,,1620.0,,,27.6,0,1930,0,0
Italy,ITA,1934,1,0,0,1,1,1,1,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,93,,,1920.0,,,43.5,1,1930,1,0
Spain,ESP,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,85,,,1780.0,,,36.9,1,1930,1,0
Argentina,ARG,1934,0,0,0,0,0,0,0,0,1,1,1,4,99,4,16,70,4.117647058823529,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,92,,,1740.0,,,42.8,1,1930,0,1
Egypt,EGY,1934,0,0,0,0,0,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,10,,,1500.0,,,6.0,0,1930,0,0
Germany,DEU,1934,0,0,1,0,1,0,0,0,0,0,0,99,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,95,,,1820.0,,,41.1,1,1930,1,0
Romania,ROU,1934,0,0,0,0,0,0,0,0,0,0,1,4,99,99,16,70,4.117647058823529,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,40,,,1600.0,,,18.0,0,1930,0,0
Netherlands,NLD,1938,0,0,0,0,0,0,0,0,0,0,1,4,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82,,,1660.0,,,32.4,0,1930,1,0
Switzerland,CHE,1938,0,0,0,0,0,0,0,0,0,0,1,4,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,60,,,1680.0,,,26.4,0,1930,0,0
Poland,POL,1938,0,0,0,0,0,0,0,0,0,0,0,99,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,50,,,1640.0,,,22.2,0,1930,0,0
Sweden,SWE,1938,0,0,1,0,1,0,0,0,0,0,1,4,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,48,,,1720.0,,,24.0,0,1930,0,0
Norway,NOR,1938,0,0,0,0,0,0,0,0,0,0,0,99,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,10,,,1620.0,,,9.6,0,1930,0,0
Brazil,BRA,1938,0,0,1,0,1,0,0,0,0,0,2,4,99,99,15,84,4.666666666666667,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,100,,,1780.0,,,41.4,1,1930,0,1
France,FRA,1938,0,0,0,0,0,1,0,0,0,0,2,4,99,99,15,84,4.666666666666667,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,90,,,1740.0,,,37.2,1,1930,1,0
