date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.7202268599426339,0.7202268599426339,0.1975399408485402,0.0822331992088259
2026-06-11,Korea Republic vs Czech Republic,2-1,Home win,Home win,0.4474445757510936,0.4474445757510936,0.2775860045954373,0.274969419653469
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.7209641964528387,0.7209641964528387,0.1809499336323199,0.09808586991484135
2026-06-12,USA vs Paraguay,4-1,Home win,Home win,0.39689709029606335,0.39689709029606335,0.29574011613630535,0.30736279356763135
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.6601851044772581,0.1325128484332891,0.20730204708945282,0.6601851044772581
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.6274623130120702,0.6274623130120702,0.24630407191481343,0.12623361507311642
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.47654918717204814,0.2544509992768797,0.2689998135510723,0.47654918717204814
2026-06-13,Australia vs Turkey,2-0,Home win,Home win,0.4206239233687854,0.4206239233687854,0.2903736752123851,0.2890024014188296
2026-06-14,Sweden vs Tunisia,5-1,Home win,Home win,0.4182157014084618,0.4182157014084618,0.3008890474175499,0.2808952511739882
2026-06-14,Netherlands vs Japan,2-2,Home win,Draw,0.4141638744702582,0.4141638744702582,0.26455688947822736,0.3212792360515145
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.854296633213372,0.854296633213372,0.10258155995351546,0.04312180683311258
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Away win,Home win,0.5231541230905002,0.1842312855987338,0.292614591310766,0.5231541230905002
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.5686740021389108,0.5686740021389108,0.26740833622818566,0.16391766163290358
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.5422224570449444,0.5422224570449444,0.27841876820663874,0.1793587747484169
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8457596099885983,0.8457596099885983,0.11166340753102141,0.04257698248038019
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.6841231291117923,0.07550589865747141,0.24037097223073628,0.6841231291117923
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.504400507872329,0.504400507872329,0.2793606677712322,0.2162388243564388
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.7355839898788444,0.7355839898788444,0.18415535676766145,0.08026065335349407
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.5470260159678476,0.5470260159678476,0.250813298855594,0.20216068517655839
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.5729698986528655,0.15320897739676317,0.27382112395037134,0.5729698986528655
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.7053392013584753,0.7053392013584753,0.20559286394072793,0.08906793470079684
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.6838081667495,0.09333126037474512,0.22286057287575486,0.6838081667495
2026-06-17,England vs Croatia,4-2,Home win,Home win,0.4922983660859948,0.4922983660859948,0.2756396290788392,0.2320620048351661
2026-06-17,Ghana vs Panama,1-0,Away win,Home win,0.4112007564302733,0.2779457579580309,0.31085348561169585,0.4112007564302733
2026-06-18,Czech Republic vs South Africa,1-1,Home win,Draw,0.5134789154459861,0.5134789154459861,0.26898762832113937,0.21753345623287446
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.49666469972939237,0.49666469972939237,0.2915328120884284,0.21180248818217917
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Home win,Home win,0.6338634781633963,0.6338634781633963,0.21858142749946996,0.14755509433713382
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.7159956421231901,0.7159956421231901,0.18703797996303245,0.09696637791377746
2026-06-19,Turkey vs Paraguay,0-1,Away win,Away win,0.42884672093874565,0.2860032054426002,0.2851500736186541,0.42884672093874565
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.5217987443746964,0.17941876353117175,0.2987824920941319,0.5217987443746964
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.918342517604275,0.918342517604275,0.061265976155295346,0.020391506240429735
2026-06-19,USA vs Australia,2-0,Home win,Home win,0.4622347021089951,0.4622347021089951,0.2614386125780651,0.2763266853129398
2026-06-20,Netherlands vs Sweden,5-1,Home win,Home win,0.5948466161212045,0.5948466161212045,0.23080735655126966,0.1743460273275259
2026-06-20,Tunisia vs Japan,0-4,Away win,Away win,0.5564563652431062,0.15112436999540146,0.2924192647614925,0.5564563652431062
2026-06-20,Germany vs Côte d'Ivoire,2-1,Home win,Home win,0.5780029358248734,0.5780029358248734,0.22483269364155328,0.19716437053357325
2026-06-20,Ecuador vs Curaçao,0-0,Home win,Draw,0.8133388256133727,0.8133388256133727,0.1406033191574528,0.04605785522917446
2026-06-21,Belgium vs IR Iran,0-0,Home win,Draw,0.47630164419742743,0.47630164419742743,0.2620407667634001,0.26165758903917247
2026-06-21,New Zealand vs Egypt,1-3,Away win,Away win,0.38784169655943596,0.2954824366901169,0.31667586675044707,0.38784169655943596
2026-06-21,Spain vs Saudi Arabia,4-0,Home win,Home win,0.7972643403947991,0.7972643403947991,0.1439722223312411,0.058763437273959856
2026-06-21,Uruguay vs Cape Verde,2-2,Home win,Draw,0.7551908432725778,0.7551908432725778,0.177332680061657,0.06747647666576526
2026-06-22,France vs Iraq,3-0,Home win,Home win,0.7175991749519055,0.7175991749519055,0.2020792900574713,0.08032153499062328
2026-06-22,Norway vs Senegal,3-2,Home win,Home win,0.3598900479777305,0.3598900479777305,0.2825135641133562,0.3575963879089133
2026-06-22,Argentina vs Austria,2-0,Home win,Home win,0.7494527663211724,0.7494527663211724,0.18215815919910044,0.0683890744797271
2026-06-22,Jordan vs Algeria,1-2,Away win,Away win,0.5608957641749777,0.18813810528806654,0.2509661305369558,0.5608957641749777
2026-06-23,Portugal vs Uzbekistan,5-0,Home win,Home win,0.6461279474591511,0.6461279474591511,0.2301706657481167,0.12370138679273222
2026-06-23,Colombia vs DR Congo,1-0,Home win,Home win,0.7603652943824851,0.7603652943824851,0.17428848118217302,0.0653462244353419
2026-06-23,England vs Ghana,0-0,Home win,Draw,0.7404826927737156,0.7404826927737156,0.19216257569227976,0.06735473153400469
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.5712455940533296,0.17014219770946393,0.2586122082372065,0.5712455940533296
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.6559083966422264,0.6559083966422264,0.23790744951101386,0.10618415384675978
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Home win,Home win,0.35637177770196043,0.35637177770196043,0.3016202359184901,0.34200798637954954
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.8253884223574635,0.05160890737140206,0.12300267027113448,0.8253884223574635
2026-06-24,South Africa vs Korea Republic,1-0,Away win,Home win,0.5492802743407342,0.15116587984615135,0.2995538458131145,0.5492802743407342
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.6221197322734167,0.6221197322734167,0.23396935408211267,0.14391091364447076
2026-06-24,Canada vs Switzerland,1-2,Home win,Away win,0.4218039940207895,0.4218039940207895,0.2634399806598422,0.31475602531936836
2026-06-25,USA vs Turkey,2-3,Home win,Away win,0.5421475391801343,0.5421475391801343,0.24893192630247982,0.208920534517386
2026-06-25,Paraguay vs Australia,0-0,Draw,Draw,0.34653182917301545,0.33863202116870356,0.34653182917301545,0.31483614965828105
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.6375740966194219,0.1185754692294424,0.24385043415113572,0.6375740966194219
2026-06-25,Ecuador vs Germany,2-1,Home win,Home win,0.3854440100972636,0.3854440100972636,0.28235477865260705,0.33220121125012936
2026-06-25,Japan vs Sweden,1-1,Home win,Draw,0.5213468639480515,0.5213468639480515,0.2761484121852074,0.2025047238667411
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.5941738296348595,0.14717137104374356,0.25865479932139696,0.5941738296348595
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.6345192784598699,0.1389884921883279,0.22649222935180227,0.6345192784598699
2026-06-26,Egypt vs IR Iran,1-1,Away win,Draw,0.44604969772948255,0.2317446759745732,0.32220562629594424,0.44604969772948255
