date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.6855312496907614,0.6855312496907614,0.2737212918535128,0.04074745845572576
2026-06-11,Korea Republic vs Czech Republic,2-1,Home win,Home win,0.45101321413406537,0.45101321413406537,0.37932412802785237,0.16966265783808215
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.6956696282185463,0.6956696282185463,0.24927492086530467,0.055055450916149135
2026-06-12,USA vs Paraguay,4-1,Draw,Home win,0.4106017280772946,0.3472643227585706,0.4106017280772946,0.2421339491641348
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.5919987770112418,0.08482600429502621,0.323175218693732,0.5919987770112418
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.5281520481605526,0.5281520481605526,0.3778367484297871,0.09401120340966032
2026-06-13,Haiti vs Scotland,0-1,Draw,Away win,0.38693168446121684,0.23919420765124985,0.38693168446121684,0.3738741078875332
2026-06-13,Australia vs Turkey,2-0,Home win,Home win,0.4012877509524955,0.4012877509524955,0.39182300492378036,0.20688924412372414
2026-06-14,Sweden vs Tunisia,5-1,Draw,Home win,0.42464528378801375,0.35914158856025546,0.42464528378801375,0.21621312765173079
2026-06-14,Netherlands vs Japan,2-2,Draw,Draw,0.37969217733050836,0.36312916731921674,0.37969217733050836,0.25717865535027484
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.883227711743238,0.883227711743238,0.08439946936806769,0.03237281888869416
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Away win,Home win,0.45166590699199327,0.13829899497858905,0.4100350980294176,0.45166590699199327
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.5281520481605526,0.5281520481605526,0.3778367484297871,0.09401120340966032
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.4670603423199014,0.4670603423199014,0.39234001830815285,0.1405996393719458
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8216782862101372,0.8216782862101372,0.148204857184727,0.030116856605135862
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.6075519941314527,0.06582404623365225,0.3266239596348952,0.6075519941314527
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.4567175952917116,0.4567175952917116,0.3841217910247495,0.15916061368353887
