date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.7348151375739759,0.7348151375739759,0.22603679737870153,0.039148065047322676
2026-06-11,Korea Republic vs Czech Republic,2-1,Draw,Home win,0.46022526154345184,0.20965222387154459,0.46022526154345184,0.3301225145850036
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.5820235551003287,0.5820235551003287,0.3594297368412348,0.058546708058436696
2026-06-12,USA vs Paraguay,4-1,Draw,Home win,0.4703267661683794,0.295415698279738,0.4703267661683794,0.23425753555188256
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.5742366653071295,0.056223359791769276,0.3695399749011012,0.5742366653071295
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.4821224070812401,0.4821224070812401,0.3564409658870499,0.16143662703171008
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.4440337591515272,0.15985048218651232,0.39611575866196047,0.4440337591515272
2026-06-13,Australia vs Turkey,2-0,Draw,Home win,0.45940435984674294,0.22180708960215445,0.45940435984674294,0.3187885505511026
2026-06-14,Sweden vs Tunisia,5-1,Home win,Home win,0.43347063733043445,0.43347063733043445,0.3957437110766161,0.1707856515929495
2026-06-14,Netherlands vs Japan,2-2,Draw,Draw,0.44467841944861985,0.35419092309737715,0.44467841944861985,0.201130657454003
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.8536547777733541,0.8536547777733541,0.1319934611570883,0.014351761069557574
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Draw,Home win,0.37909244555591953,0.33819147696085006,0.37909244555591953,0.28271607748323047
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.6340513159925831,0.6340513159925831,0.2769275724430266,0.08902111156439022
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.5603938339098776,0.5603938339098776,0.36538980735515014,0.07421635873497237
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8558125141423873,0.8558125141423873,0.12714890282807173,0.017038583029540984
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.4971327249630942,0.1012461797206791,0.4016210953162267,0.4971327249630942
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.5165384592284268,0.5165384592284268,0.35490830996807426,0.12855323080349898
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.7002024000411196,0.7002024000411196,0.2489097442945455,0.050887855664334986
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.5488714126964241,0.5488714126964241,0.2582900500064744,0.19283853729710151
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.6076305223900498,0.060217996092651015,0.3321514815172992,0.6076305223900498
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.7080895646070668,0.7080895646070668,0.23405480996484304,0.05785562542809006
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.5243068240762568,0.08800685791627838,0.3876863180074647,0.5243068240762568
2026-06-17,England vs Croatia,4-2,Home win,Home win,0.42088195771958137,0.42088195771958137,0.355924304591561,0.22319373768885764
2026-06-17,Ghana vs Panama,1-0,Draw,Home win,0.38220688594521796,0.26495214291931374,0.38220688594521796,0.3528409711354683
2026-06-18,Czech Republic vs South Africa,1-1,Draw,Draw,0.423024587611912,0.375435946121983,0.423024587611912,0.20153946626610503
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.45785318030989497,0.45785318030989497,0.43296727404159274,0.1091795456485123
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Home win,Home win,0.6393481320332501,0.6393481320332501,0.2669773748902257,0.0936744930765241
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.6453606657270692,0.6453606657270692,0.32687646384530983,0.02776287042762088
2026-06-19,Turkey vs Paraguay,0-1,Draw,Away win,0.4127893174431196,0.404232466792126,0.4127893174431196,0.18297821576475443
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.45699482895032156,0.1727657317005919,0.3702394393490866,0.45699482895032156
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.7879015044235765,0.7879015044235765,0.1982482546230441,0.013850240953379358
2026-06-19,USA vs Australia,2-0,Home win,Home win,0.4665128747373898,0.4665128747373898,0.28230954530568675,0.2511775799569235
2026-06-20,Netherlands vs Sweden,5-1,Home win,Home win,0.5726780411596457,0.5726780411596457,0.2519830497098741,0.17533890913048022
2026-06-20,Tunisia vs Japan,0-4,Draw,Away win,0.4353165128866714,0.1305628185292393,0.4353165128866714,0.4341206685840893
2026-06-20,Germany vs Côte d'Ivoire,2-1,Home win,Home win,0.5522743483997624,0.5522743483997624,0.3312344656198851,0.1164911859803525
2026-06-20,Ecuador vs Curaçao,0-0,Home win,Draw,0.7788642980071854,0.7788642980071854,0.18846247601129007,0.032673225981524605
