date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.7005300476581445,0.7005300476581445,0.22012125326034337,0.07934869908151221
2026-06-11,Korea Republic vs Czech Republic,2-1,Home win,Home win,0.4478222730289526,0.4478222730289526,0.28155618722732195,0.27062153974372544
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.7052636557805364,0.7052636557805364,0.19918118276885063,0.09555516145061303
2026-06-12,USA vs Paraguay,4-1,Home win,Home win,0.38726265031799806,0.38726265031799806,0.30351138944195877,0.30922596024004323
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.6572523895635218,0.12359746543395854,0.21915014500251967,0.6572523895635218
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.6166656549644352,0.6166656549644352,0.2607089263754959,0.12262541866006889
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.4812692715985649,0.24250861208462976,0.2762221163168054,0.4812692715985649
2026-06-13,Australia vs Turkey,2-0,Home win,Home win,0.4169939401933968,0.4169939401933968,0.30116924315829374,0.2818368166483095
2026-06-14,Sweden vs Tunisia,5-1,Home win,Home win,0.4127857518777568,0.4127857518777568,0.30817925750056124,0.27903499062168197
2026-06-14,Netherlands vs Japan,2-2,Home win,Draw,0.3950801203706316,0.3950801203706316,0.2779541926137373,0.32696568701563117
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.84740585807826,0.84740585807826,0.1096542067816791,0.04293993514006089
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Away win,Home win,0.5245598660335987,0.1803116213560393,0.2951285126103621,0.5245598660335987
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.5560186918339101,0.5560186918339101,0.2810070180543097,0.1629742901117802
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.5285560655841439,0.5285560655841439,0.29477025926622274,0.17667367514963336
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8389515081875302,0.8389515081875302,0.1196212557032391,0.041427236109230825
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.6710817640208534,0.0727738041690507,0.256144431810096,0.6710817640208534
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.4928513918373525,0.4928513918373525,0.2962420205394669,0.21090658762318054
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.7206887485786737,0.7206887485786737,0.19772041873534862,0.08159083268597764
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.5423183450407102,0.5423183450407102,0.2629854745528526,0.1946961804064372
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.5693345735097373,0.14357717216301424,0.2870882543272485,0.5693345735097373
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.6944359988144261,0.6944359988144261,0.21773971917278095,0.08782428201279309
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.6754650881206995,0.07990388030790946,0.24463103157139107,0.6754650881206995
2026-06-17,England vs Croatia,4-2,Home win,Home win,0.4814758802874961,0.4814758802874961,0.2888506204176443,0.2296734992948596
2026-06-17,Ghana vs Panama,1-0,Away win,Home win,0.41376473475814013,0.2742110472085909,0.3120242180332691,0.41376473475814013
2026-06-18,Czech Republic vs South Africa,1-1,Home win,Draw,0.4971878050180705,0.4971878050180705,0.287803006191693,0.21500918879023645
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.4988119928516634,0.4988119928516634,0.2945234318376207,0.20666457531071594
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Home win,Home win,0.6265891302644667,0.6265891302644667,0.23509014973117576,0.13832072000435747
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.7096491103071167,0.7096491103071167,0.19479665888724823,0.095554230805635
2026-06-19,Turkey vs Paraguay,0-1,Away win,Away win,0.428742863397859,0.2789981960217064,0.2922589405804345,0.428742863397859
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.5120983484203483,0.17143238537079414,0.3164692662088576,0.5120983484203483
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.9100888023361793,0.9100888023361793,0.07624479968819524,0.013666397975625487
2026-06-19,USA vs Australia,2-0,Home win,Home win,0.4538491014937288,0.4538491014937288,0.2788199468268032,0.26733095167946797
2026-06-20,Netherlands vs Sweden,5-1,Home win,Home win,0.581684917832334,0.581684917832334,0.2468684613656405,0.1714466208020255
2026-06-20,Tunisia vs Japan,0-4,Away win,Away win,0.5567652434372423,0.1403085978054143,0.30292615875734336,0.5567652434372423
2026-06-20,Germany vs Côte d'Ivoire,2-1,Home win,Home win,0.5651336427897936,0.5651336427897936,0.23800906785940332,0.1968572893508031
2026-06-20,Ecuador vs Curaçao,0-0,Home win,Draw,0.800094067024063,0.800094067024063,0.15558474429275496,0.04432118868318198
2026-06-21,Belgium vs IR Iran,0-0,Home win,Draw,0.45377635333161725,0.45377635333161725,0.28232579898448096,0.26389784768390173
2026-06-21,New Zealand vs Egypt,1-3,Away win,Away win,0.38117876814905083,0.28901051680570533,0.32981071504524384,0.38117876814905083
2026-06-21,Spain vs Saudi Arabia,4-0,Home win,Home win,0.7903314115684981,0.7903314115684981,0.15164978263447296,0.05801880579702899
2026-06-21,Uruguay vs Cape Verde,2-2,Home win,Draw,0.7462729504633285,0.7462729504633285,0.18602171731336664,0.06770533222330494
2026-06-22,France vs Iraq,3-0,Home win,Home win,0.7093225159931135,0.7093225159931135,0.21564982211224246,0.0750276618946441
2026-06-22,Norway vs Senegal,3-2,Away win,Home win,0.35450707166506606,0.3516214472099806,0.2938714811249534,0.35450707166506606
2026-06-22,Argentina vs Austria,2-0,Home win,Home win,0.7366608674289553,0.7366608674289553,0.19755449871623998,0.0657846338548047
2026-06-22,Jordan vs Algeria,1-2,Away win,Away win,0.5570423537926498,0.17108827971248575,0.2718693664948646,0.5570423537926498
2026-06-23,Portugal vs Uzbekistan,5-0,Home win,Home win,0.637023192151735,0.637023192151735,0.2421702254750417,0.12080658237322336
2026-06-23,Colombia vs DR Congo,1-0,Home win,Home win,0.7466267505612392,0.7466267505612392,0.1879963675380915,0.0653768819006693
2026-06-23,England vs Ghana,0-0,Home win,Draw,0.7187801295292949,0.7187801295292949,0.21534293926958697,0.06587693120111808
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.5673809417665586,0.1569585496268754,0.27566050860656593,0.5673809417665586
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.6479469728300039,0.6479469728300039,0.24967023546447958,0.10238279170551656
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Home win,Home win,0.33795770698727473,0.33795770698727473,0.32701898780333716,0.33502330520938806
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.8130769546972121,0.044093305489454025,0.142829739813334,0.8130769546972121
2026-06-24,South Africa vs Korea Republic,1-0,Away win,Home win,0.5506225439956767,0.14466524509823983,0.3047122109060835,0.5506225439956767
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.6240409881568977,0.6240409881568977,0.24308471827149822,0.1328742935716041
2026-06-24,Canada vs Switzerland,1-2,Home win,Away win,0.41628549182909813,0.41628549182909813,0.28943387327830145,0.2942806348926005
2026-06-25,USA vs Turkey,2-3,Home win,Away win,0.5449010432023957,0.5449010432023957,0.25363631082280874,0.2014626459747956
2026-06-25,Paraguay vs Australia,0-0,Draw,Draw,0.34602931849783836,0.3331314382554166,0.34602931849783836,0.320839243246745
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.6244987205319378,0.11295823487052986,0.2625430445975324,0.6244987205319378
2026-06-25,Ecuador vs Germany,2-1,Home win,Home win,0.3751328773711457,0.3751328773711457,0.2954331440222507,0.3294339786066035
2026-06-25,Japan vs Sweden,1-1,Home win,Draw,0.5206902461390401,0.5206902461390401,0.28503774682318705,0.19427200703777286
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.5848150720788838,0.13744529543017261,0.2777396324909436,0.5848150720788838
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.6295755707618775,0.13502331759999495,0.23540111163812752,0.6295755707618775
2026-06-26,Egypt vs IR Iran,1-1,Away win,Draw,0.449938244667386,0.2293550426353658,0.32070671269724826,0.449938244667386
