date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.7532754159633323,0.7532754159633323,0.21888746672563192,0.0278371173110357
2026-06-11,Korea Republic vs Czech Republic,2-1,Draw,Home win,0.4145697821840273,0.25793625852533775,0.4145697821840273,0.3274939592906349
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Draw,Draw,0.5509860367811611,0.378088745243512,0.5509860367811611,0.07092521797532687
2026-06-12,USA vs Paraguay,4-1,Home win,Home win,0.42196370435678526,0.42196370435678526,0.24777974130481764,0.330256554338397
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.7221696327715786,0.032297385070772434,0.24553298215764902,0.7221696327715786
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.4856936693299296,0.4856936693299296,0.3615018401217276,0.15280449054834278
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.49063850416297494,0.1737471345072945,0.3356143613297306,0.49063850416297494
2026-06-13,Australia vs Turkey,2-0,Draw,Home win,0.44427455273046645,0.19579219658640293,0.44427455273046645,0.3599332506831307
2026-06-14,Sweden vs Tunisia,5-1,Draw,Home win,0.45296015484957547,0.370377100504127,0.45296015484957547,0.1766627446462976
2026-06-14,Netherlands vs Japan,2-2,Draw,Draw,0.451379159624933,0.2396525813957659,0.451379159624933,0.308968258979301
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.9122358756392916,0.9122358756392916,0.07608376600523115,0.011680358355477167
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Draw,Home win,0.44920890525912077,0.346605018653602,0.44920890525912077,0.20418607608727726
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.6079928943000742,0.6079928943000742,0.31617864127455003,0.07582846442537569
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.6795309675517327,0.6795309675517327,0.24813942986663928,0.07232960258162799
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8669720565821885,0.8669720565821885,0.11766790817928051,0.015360035238531038
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.5203616627120651,0.0713239737704267,0.40831436351750827,0.5203616627120651
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.650840268221501,0.650840268221501,0.26290371706354015,0.08625601471495896
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.6720366962946586,0.6720366962946586,0.2583270368154948,0.06963626688984659
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.5510837039012255,0.5510837039012255,0.16610406071685974,0.28281223538191486
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.6458678002395941,0.08130657985907598,0.27282561990132986,0.6458678002395941
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.7099128685275119,0.7099128685275119,0.22621134473995472,0.06387578673253345
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.6041850264839367,0.10122311084141764,0.29459186267464577,0.6041850264839367
2026-06-17,England vs Croatia,4-2,Draw,Home win,0.4027923299901586,0.4025063398878217,0.4027923299901586,0.19470133012201965
2026-06-17,Ghana vs Panama,1-0,Home win,Home win,0.3499126237538363,0.3499126237538363,0.33590089471074436,0.3141864815354194
2026-06-18,Czech Republic vs South Africa,1-1,Home win,Draw,0.48356522128941487,0.48356522128941487,0.3142081898190648,0.20222658889152037
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.4837856888425082,0.4837856888425082,0.38856456889756047,0.12764974225993128
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Draw,Home win,0.4478640077431209,0.4157932422981496,0.4478640077431209,0.13634274995872953
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.6419533316570929,0.6419533316570929,0.31606680454108277,0.041979863801824335
2026-06-19,Turkey vs Paraguay,0-1,Home win,Away win,0.527482596585032,0.527482596585032,0.34243760000397444,0.13007980341099357
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.44768753776848363,0.16745814747756874,0.38485431475394755,0.44768753776848363
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.8271950164414669,0.8271950164414669,0.14491955313661767,0.027885430421915453
2026-06-19,USA vs Australia,2-0,Home win,Home win,0.4431003277130845,0.4431003277130845,0.308824537171503,0.24807513511541252
2026-06-20,Netherlands vs Sweden,5-1,Home win,Home win,0.5516878621511704,0.5516878621511704,0.23323603463314543,0.2150761032156841
2026-06-20,Tunisia vs Japan,0-4,Away win,Away win,0.49727469354557846,0.12105348536019746,0.3816718210942241,0.49727469354557846
2026-06-20,Germany vs Côte d'Ivoire,2-1,Home win,Home win,0.5351714196458798,0.5351714196458798,0.28589204427910997,0.17893653607501026
2026-06-20,Ecuador vs Curaçao,0-0,Home win,Draw,0.8224795855758857,0.8224795855758857,0.13494683646622835,0.04257357795788594
2026-06-21,Belgium vs IR Iran,0-0,Home win,Draw,0.6130672851414519,0.6130672851414519,0.2351201515815184,0.15181256327702977
2026-06-21,New Zealand vs Egypt,1-3,Draw,Away win,0.4539476940544838,0.19467421354877676,0.4539476940544838,0.3513780923967395
2026-06-21,Spain vs Saudi Arabia,4-0,Home win,Home win,0.723870355769927,0.723870355769927,0.25577982944349087,0.02034981478658223
2026-06-21,Uruguay vs Cape Verde,2-2,Home win,Draw,0.8122668401377702,0.8122668401377702,0.13112219937124042,0.05661096049098951
2026-06-22,France vs Iraq,3-0,Home win,Home win,0.6367166091573815,0.6367166091573815,0.32302820756195644,0.04025518328066215
2026-06-22,Norway vs Senegal,3-2,Draw,Home win,0.5515249750414528,0.2802300069984616,0.5515249750414528,0.16824501796008556
2026-06-22,Argentina vs Austria,2-0,Home win,Home win,0.7366645255550937,0.7366645255550937,0.183663863872274,0.07967161057263233
2026-06-22,Jordan vs Algeria,1-2,Away win,Away win,0.6281915124449846,0.1459701372284048,0.22583835032661054,0.6281915124449846
2026-06-23,Portugal vs Uzbekistan,5-0,Home win,Home win,0.7941892517396254,0.7941892517396254,0.17606576344115327,0.0297449848192213
2026-06-23,Colombia vs DR Congo,1-0,Home win,Home win,0.7133831166970928,0.7133831166970928,0.22847735771804664,0.05813952558486061
2026-06-23,England vs Ghana,0-0,Home win,Draw,0.7648731664700981,0.7648731664700981,0.20654490555039232,0.028581927979509626
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.6244810018791698,0.12257929141947828,0.2529397067013519,0.6244810018791698
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.7659191627866679,0.7659191627866679,0.20316226464626158,0.030918572567070375
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Home win,Home win,0.5940431558997057,0.5940431558997057,0.22593261183429875,0.18002423226599562
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.5784655000486658,0.07666339502493714,0.344871104926397,0.5784655000486658
2026-06-24,South Africa vs Korea Republic,1-0,Away win,Home win,0.4699421468300462,0.1171310642708529,0.412926788899101,0.4699421468300462
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.4205944750961456,0.4205944750961456,0.41961518558303185,0.1597903393208225
2026-06-24,Canada vs Switzerland,1-2,Draw,Away win,0.681094746595579,0.15038560476437215,0.681094746595579,0.16851964864004884
2026-06-25,USA vs Turkey,2-3,Away win,Away win,0.35018055808380893,0.32067623754231706,0.32914320437387407,0.35018055808380893
2026-06-25,Paraguay vs Australia,0-0,Home win,Draw,0.4133295638038235,0.4133295638038235,0.33238626300241886,0.2542841731937577
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.5418440829243527,0.12282078598800128,0.33533513108764607,0.5418440829243527
2026-06-25,Ecuador vs Germany,2-1,Away win,Home win,0.4420828679748734,0.1491723320542288,0.40874479997089774,0.4420828679748734
2026-06-25,Japan vs Sweden,1-1,Draw,Draw,0.3921401590234544,0.3077613639999636,0.3921401590234544,0.3000984769765821
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.6391963509571029,0.09713103632061376,0.26367261272228343,0.6391963509571029
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.5361908837704165,0.10015742582087066,0.3636516904087128,0.5361908837704165
2026-06-26,Egypt vs IR Iran,1-1,Draw,Draw,0.38429098747235774,0.3311434934853436,0.38429098747235774,0.28456551904229865
