date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.723212095093626,0.723212095093626,0.21899489430429614,0.057793010602077845
2026-06-11,Korea Republic vs Czech Republic,2-1,Draw,Home win,0.4320929987357712,0.3857049955078021,0.4320929987357712,0.1822020057564267
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.6769994025295941,0.6769994025295941,0.251744632652541,0.07125596481786496
2026-06-12,USA vs Paraguay,4-1,Draw,Home win,0.4166130644001547,0.3496343156482857,0.4166130644001547,0.23375261995155971
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.5942765809473626,0.09556645811726874,0.3101569609353688,0.5942765809473626
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.5625168749760678,0.5625168749760678,0.3431243689673482,0.09435875605658392
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.4454397838427878,0.20100202191397679,0.3535581942432354,0.4454397838427878
2026-06-13,Australia vs Turkey,2-0,Draw,Home win,0.4459174802696544,0.3368142770299182,0.4459174802696544,0.2172682427004275
2026-06-14,Sweden vs Tunisia,5-1,Draw,Home win,0.4612416489721642,0.3321852257712424,0.4612416489721642,0.2065731252565933
2026-06-14,Netherlands vs Japan,2-2,Draw,Draw,0.4439892649760688,0.3023579790303382,0.4439892649760688,0.2536527559935931
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.7916400915881447,0.7916400915881447,0.165129325264065,0.043230583147790304
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Away win,Home win,0.44376029268353967,0.15231820969143628,0.4039214976250241,0.44376029268353967
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.520302505709109,0.520302505709109,0.36511606159219706,0.11458143269869392
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.5286723314089287,0.5286723314089287,0.3542339501878687,0.11709371840320267
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8067643927020769,0.8067643927020769,0.15649563272129674,0.03673997457662644
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.6259380814703601,0.07972631544307172,0.29433560308656825,0.6259380814703601
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.471473682475953,0.471473682475953,0.39374861967657115,0.13477769784747587
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.731037748126749,0.731037748126749,0.2134404307659651,0.05552182110728593
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.47529898036251156,0.47529898036251156,0.391655901806989,0.1330451178304994
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.5244763730233538,0.1225621848257778,0.3529614421508685,0.5244763730233538
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.6976881256336468,0.6976881256336468,0.24026816902576464,0.06204370534058859
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.64802672410623,0.08965968423994958,0.2623135916538204,0.64802672410623
2026-06-17,England vs Croatia,4-2,Draw,Home win,0.4376729773445426,0.41630231311746135,0.4376729773445426,0.14602470953799615
2026-06-17,Ghana vs Panama,1-0,Draw,Home win,0.451954166159016,0.23179436917779148,0.451954166159016,0.3162514646631926
2026-06-18,Czech Republic vs South Africa,1-1,Home win,Draw,0.43063657129045035,0.43063657129045035,0.41420355547847204,0.1551598732310777
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.4568066570201547,0.4568066570201547,0.40849201732113705,0.1347013256587081
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Home win,Home win,0.5604060883836006,0.5604060883836006,0.3300726832877907,0.10952122832860856
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.7235189363729353,0.7235189363729353,0.218654385852419,0.05782667777464578
2026-06-19,Turkey vs Paraguay,0-1,Draw,Away win,0.4213085709302392,0.2348148866006006,0.4213085709302392,0.34387654246916016
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.44314979653357406,0.12189215720103183,0.4349580462653942,0.44314979653357406
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.8753756950391864,0.8753756950391864,0.09756884289901267,0.027055462061800917
2026-06-19,USA vs Australia,2-0,Draw,Home win,0.3965535644632947,0.37808476620145404,0.3965535644632947,0.22536166933525123
2026-06-20,Netherlands vs Sweden,5-1,Home win,Home win,0.5382516945966973,0.5382516945966973,0.3401489713589293,0.12159933404437334
2026-06-20,Tunisia vs Japan,0-4,Away win,Away win,0.46564059132380015,0.12665937403697192,0.407700034639228,0.46564059132380015
2026-06-20,Germany vs Côte d'Ivoire,2-1,Home win,Home win,0.5436753891596434,0.5436753891596434,0.33293323041595685,0.12339138042439969
2026-06-20,Ecuador vs Curaçao,0-0,Home win,Draw,0.7995682526252708,0.7995682526252708,0.16053572233879684,0.039896025035932425
2026-06-21,Belgium vs IR Iran,0-0,Draw,Draw,0.41325167922166905,0.3958365972205411,0.41325167922166905,0.19091172355778982
2026-06-21,New Zealand vs Egypt,1-3,Draw,Away win,0.49471301891887925,0.21280065363599385,0.49471301891887925,0.2924863274451269
2026-06-21,Spain vs Saudi Arabia,4-0,Home win,Home win,0.7598561558243818,0.7598561558243818,0.19328414526688062,0.046859698908737646
2026-06-21,Uruguay vs Cape Verde,2-2,Home win,Draw,0.7444691627451501,0.7444691627451501,0.20491311612307087,0.05061772113177902
2026-06-22,France vs Iraq,3-0,Home win,Home win,0.6793998065835943,0.6793998065835943,0.2575809000408419,0.06301929337556371
2026-06-22,Norway vs Senegal,3-2,Draw,Home win,0.459858197126882,0.26288998564254645,0.459858197126882,0.27725181723057163
2026-06-22,Argentina vs Austria,2-0,Home win,Home win,0.7364872470675927,0.7364872470675927,0.20864670525251483,0.054866047679892394
2026-06-22,Jordan vs Algeria,1-2,Away win,Away win,0.48480919064252975,0.1594559899877233,0.355734819369747,0.48480919064252975
2026-06-23,Portugal vs Uzbekistan,5-0,Home win,Home win,0.5964728796434136,0.5964728796434136,0.3183111276834197,0.08521599267316673
2026-06-23,Colombia vs DR Congo,1-0,Home win,Home win,0.7542057332887381,0.7542057332887381,0.19612723884747538,0.04966702786378657
2026-06-23,England vs Ghana,0-0,Home win,Draw,0.7214929145328892,0.7214929145328892,0.2274779020741028,0.05102918339300799
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.5536416649983656,0.1298000236481547,0.31655831135347967,0.5536416649983656
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.6613406470726303,0.6613406470726303,0.27013156285876316,0.0685277900686066
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Draw,Home win,0.44054705974284253,0.31584648389273184,0.44054705974284253,0.24360645636442563
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.775824638117607,0.06486257012719389,0.15931279175519913,0.775824638117607
2026-06-24,South Africa vs Korea Republic,1-0,Away win,Home win,0.5156037382329847,0.12508287512109426,0.3593133866459212,0.5156037382329847
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.6054829407396569,0.6054829407396569,0.3067018764193789,0.08781518284096414
2026-06-24,Canada vs Switzerland,1-2,Draw,Away win,0.44444154241711487,0.35715385250816695,0.44444154241711487,0.1984046050747183
2026-06-25,USA vs Turkey,2-3,Home win,Away win,0.513701249568764,0.513701249568764,0.3464056270688863,0.13989312336234971
2026-06-25,Paraguay vs Australia,0-0,Draw,Draw,0.5241759715112183,0.26544396076392934,0.5241759715112183,0.21038006772485246
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.5858349627016287,0.10576498175145183,0.30840005554691957,0.5858349627016287
2026-06-25,Ecuador vs Germany,2-1,Draw,Home win,0.4332109432907706,0.3080570067185786,0.4332109432907706,0.2587320499906509
2026-06-25,Japan vs Sweden,1-1,Home win,Draw,0.478218671755596,0.478218671755596,0.3878092607296516,0.13397206751475235
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.540495100901092,0.11087279891190306,0.3486321001870049,0.540495100901092
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.6056221599128488,0.10257145199395307,0.29180638809319803,0.6056221599128488
2026-06-26,Egypt vs IR Iran,1-1,Draw,Draw,0.4591945030588756,0.18705874147580878,0.4591945030588756,0.3537467554653157
