date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-11,Mexico vs South Africa,2-0,Home win,Home win,0.711085397696788,0.711085397696788,0.20765694800057863,0.08125765430263339
2026-06-11,Korea Republic vs Czech Republic,2-1,Home win,Home win,0.44760407808724983,0.44760407808724983,0.28853992370240383,0.26385599821034644
2026-06-12,Canada vs Bosnia and Herzegovina,1-1,Home win,Draw,0.7171289801968419,0.7171289801968419,0.1881137095537736,0.09475731024938454
2026-06-12,USA vs Paraguay,4-1,Home win,Home win,0.3830571242108893,0.3830571242108893,0.3098442634076991,0.3070986123814116
2026-06-13,Qatar vs Switzerland,1-1,Away win,Draw,0.6419918377143712,0.12550535870508486,0.23250280358054398,0.6419918377143712
2026-06-13,Brazil vs Morocco,1-1,Home win,Draw,0.6143650534496999,0.6143650534496999,0.2613499145676768,0.1242850319826233
2026-06-13,Haiti vs Scotland,0-1,Away win,Away win,0.45871734293757793,0.2519412856930954,0.2893413713693267,0.45871734293757793
2026-06-13,Australia vs Turkey,2-0,Home win,Home win,0.4084848525409209,0.4084848525409209,0.30485153114030644,0.28666361631877274
2026-06-14,Sweden vs Tunisia,5-1,Home win,Home win,0.40922781761545385,0.40922781761545385,0.3095219116280637,0.2812502707564825
2026-06-14,Netherlands vs Japan,2-2,Home win,Draw,0.4014172414175361,0.4014172414175361,0.28114132220728183,0.31744143637518213
2026-06-14,Germany vs Curaçao,7-1,Home win,Home win,0.8623308058448025,0.8623308058448025,0.09857757197767758,0.03909162217751993
2026-06-14,Côte d'Ivoire vs Ecuador,1-0,Away win,Home win,0.5296602546647068,0.1689930720669438,0.30134667326834946,0.5296602546647068
2026-06-15,Belgium vs Egypt,1-1,Home win,Draw,0.5596227159160236,0.5596227159160236,0.2770669803902707,0.16331030369370553
2026-06-15,IR Iran vs New Zealand,2-2,Home win,Draw,0.5336820858978494,0.5336820858978494,0.2888488701455041,0.17746904395664653
2026-06-15,Spain vs Cape Verde,0-0,Home win,Draw,0.8390283495589852,0.8390283495589852,0.12131700438584672,0.03965464605516812
2026-06-15,Saudi Arabia vs Uruguay,1-1,Away win,Draw,0.6709109779957528,0.07092142378076269,0.2581675982234845,0.6709109779957528
2026-06-16,Austria vs Jordan,3-1,Home win,Home win,0.49310693191466987,0.49310693191466987,0.29142182176210624,0.21547124632322393
2026-06-16,Argentina vs Algeria,3-0,Home win,Home win,0.7352829163547425,0.7352829163547425,0.19549659330156377,0.06922049034369374
2026-06-16,France vs Senegal,3-1,Home win,Home win,0.5396230308035692,0.5396230308035692,0.26464646432364614,0.19573050487278465
2026-06-16,Iraq vs Norway,1-4,Away win,Away win,0.550187304465296,0.14765750063055486,0.30215519490414927,0.550187304465296
2026-06-17,Portugal vs DR Congo,1-1,Home win,Draw,0.6827743173531423,0.6827743173531423,0.22618195323557672,0.09104372941128093
2026-06-17,Uzbekistan vs Colombia,1-3,Away win,Away win,0.6785394175141967,0.08279950405564201,0.23866107843016127,0.6785394175141967
2026-06-17,England vs Croatia,4-2,Home win,Home win,0.4895518586449415,0.4895518586449415,0.29216701950281315,0.2182811218522454
2026-06-17,Ghana vs Panama,1-0,Away win,Home win,0.42838440551348417,0.2592947553133422,0.3123208391731737,0.42838440551348417
2026-06-18,Czech Republic vs South Africa,1-1,Home win,Draw,0.49356667728857373,0.49356667728857373,0.2969302744354112,0.20950304827601515
2026-06-18,Mexico vs Korea Republic,1-0,Home win,Home win,0.4879750553689387,0.4879750553689387,0.30362731898990425,0.208397625641157
2026-06-18,Switzerland vs Bosnia and Herzegovina,4-1,Home win,Home win,0.6256579392804774,0.6256579392804774,0.22213163562495128,0.1522104250945714
2026-06-18,Canada vs Qatar,6-0,Home win,Home win,0.7080688439812058,0.7080688439812058,0.20363736139068112,0.08829379462811306
2026-06-19,Turkey vs Paraguay,0-1,Away win,Away win,0.42853846095071585,0.276972914901331,0.29448862414795324,0.42853846095071585
2026-06-19,Scotland vs Morocco,0-1,Away win,Away win,0.5264999237237415,0.1617972287999732,0.31170284747628535,0.5264999237237415
2026-06-19,Brazil vs Haiti,3-0,Home win,Home win,0.9221161035575738,0.9221161035575738,0.06344322209076762,0.014440674351658656
