,spearman_r,spearman_p,pearson_r,pearson_p,n
is_former_champion,0.3316286755926518,1.8872183499714802e-13,0.3316286755926518,1.8872183499714683e-13,467.0
elo_rating,0.3006343269730369,4.385358211061355e-11,0.33252561586730756,2.3039975904335825e-13,461.0
football_tradition,0.2775348479023247,1.0489385006355502e-09,0.26370710297261096,7.198785302747021e-09,467.0
football_power_index,0.26419894765099805,8.418996319279604e-09,0.2408766873142758,1.649149030566834e-07,461.0
is_strong_sa,0.248123948182657,5.547009464928932e-08,0.24812394818265704,5.547009464929009e-08,467.0
is_host,0.24436974451804427,8.892406943934844e-08,0.24436974451804436,8.89240694393469e-08,467.0
years_since_last_final,-0.22424556125603104,9.806450192292263e-07,-0.23181325871056566,4.078416536328159e-07,467.0
wc_finals_before,0.21786425789242278,2.0074122789641953e-06,0.19148825261949406,3.105134460348878e-05,467.0
years_since_last_win,-0.21420779078887095,2.997502859494143e-06,-0.217497685180249,2.0903974058965756e-06,467.0
wc_titles_before,0.20890000845243942,5.298864009825618e-06,0.1577236463780487,0.0006245173135344546,467.0
wc_semifinals_before,0.1931509470904829,2.6400757400884843e-05,0.1966847765440689,1.8614811917943876e-05,467.0
fifa_rank,-0.252689872725697,9.293736123143755e-05,-0.20214102306193882,0.0018851799852355679,234.0
fifa_rank_inverse,0.252689872725697,9.293736123143755e-05,0.26746239775227687,3.394457754243156e-05,234.0
population_vs_avg,0.1878330844399849,0.0002799215987684794,0.12129575006426785,0.019600996882967917,370.0
population_log,0.18334253938848255,0.00039287412193291074,0.1726086836485399,0.0008560106099493848,370.0
population,0.18334253938848255,0.00039287412193291074,0.07546965132277733,0.14738152367651253,370.0
population_vs_winner,0.1882710699026493,0.0004058504676325486,0.06012440906606213,0.26262824419569686,349.0
population_rank,-0.18148631189616599,0.00045093855376827165,-0.17488607294512173,0.0007283132553387138,370.0
is_south_america,0.15966840672348648,0.0005332736631376943,0.15966840672348662,0.000533273663137689,467.0
gdp_total_rank,-0.16950071032682676,0.0015539571010385795,-0.16546982386865258,0.002014453095291405,346.0
trade_pct_gdp,-0.17407668827589068,0.0017738796399050286,-0.16302695278370452,0.003450189724473733,320.0
wc_participations_before,0.12117760390029686,0.008759042096830549,0.15147893202392865,0.0010246033305725607,467.0
is_strong_europe,0.11813936886489367,0.010614968291712826,0.11813936886489372,0.010614968291712776,467.0
military_personnel,0.17052760636032868,0.012478368294154604,0.06424512110950338,0.34964027212399085,214.0
health_spending_pct_gdp,0.181519707073477,0.016213315614036994,0.17070847736145953,0.023903140570005504,175.0
air_transport_passengers,0.1077840197902349,0.05259101219103556,0.06826446257250203,0.2204090073663613,324.0
gdp_total,0.09761439291256971,0.06975548952427024,0.07521785171947809,0.16269998543111622,346.0
gdp_total_log,0.09761439291256971,0.06975548952427024,0.09947680793988721,0.06456381599307955,346.0
years_since_last_wc,-0.07695829310256293,0.09669537871045601,-0.03193214376875271,0.49120993037387956,467.0
num_teams_in_tournament,-0.07407855826601369,0.1098743339633428,-0.07552489885076447,0.10308846739363473,467.0
urbanization_pct,0.07954679805518487,0.12667225310610825,0.07721911105638982,0.13819992321125055,370.0
avg_goals_per_match,0.07048631868256444,0.1282517116438288,0.06074748621096856,0.1900414091565642,467.0
is_asia,-0.0682138242903941,0.14105396372871015,-0.06821382429039412,0.14105396372871068,467.0
is_africa,-0.0682138242903941,0.14105396372871015,-0.06821382429039412,0.14105396372871068,467.0
total_goals_in_tournament,-0.0620785191783007,0.18049748713557873,-0.06477199100295387,0.1622779588084779,467.0
