year,actual_winner,predicted_most_wins,predicted_final_winner,predicted_aggregate,correct_most_wins,correct_final_winner,correct_aggregate,actual_rank_aggregate,in_top3_aggregate,in_top5_aggregate,match_accuracy,match_logloss,val_accuracy_year_minus_4_to_year,val_logloss_year_minus_4_to_year
1930,Uruguay,Argentina,Uruguay,Argentina,0,1,0,2,1,1,0.6111111111111112,1.1495370864868164,0.5587529976019184,1.0006487369537354
1934,Italy,Italy,Italy,Italy,1,1,1,1,1,1,0.6470588235294118,0.9803109169006348,0.5742793791574279,1.0050159692764282
1938,Italy,Brazil,Hungary,Brazil,0,0,0,3,1,1,0.6111111111111112,1.1226067543029785,0.5791583166332666,1.0065171718597412
1950,Uruguay,Brazil,Brazil,Brazil,0,0,0,8,0,0,0.5,1.5936013460159302,0.5813559322033899,0.9382871389389038
1954,Germany,Germany,Germany,Germany,1,1,1,1,1,1,0.5769230769230769,0.8826583027839661,0.5889967637540453,0.9827667474746704
1958,Brazil,Brazil,Brazil,Brazil,1,1,1,1,1,1,0.42857142857142855,1.590158224105835,0.5426829268292683,0.996661365032196
1962,Brazil,Brazil,Brazil,Brazil,1,1,1,1,1,1,0.53125,0.9612573981285095,0.5749718151071026,0.9460267424583435
1966,England,England,England,England,1,1,1,1,1,1,0.5625,1.019325852394104,0.553343949044586,0.9903646111488342
1970,Brazil,Brazil,Brazil,Brazil,1,1,1,1,1,1,0.6875,0.8644470572471619,0.5775862068965517,0.9415984153747559
1974,Germany,Germany,Germany,Germany,1,1,1,1,1,1,0.47368421052631576,0.9638482332229614,0.5851769911504425,0.9382157921791077
1978,Argentina,Brazil,Argentina,Brazil,0,1,0,3,1,1,0.47368421052631576,1.0933051109313965,0.5680136596471258,0.9254204034805298
1982,Italy,Germany,Italy,Germany,0,1,0,3,1,1,0.4807692307692308,1.1348916292190552,0.5703776360961256,0.9320095181465149
1986,Argentina,England,Argentina,France,0,1,0,2,1,1,0.4423076923076923,1.1001876592636108,0.5550541516245487,0.9474307894706726
1990,Germany,Germany,Germany,Germany,1,1,1,1,1,1,0.5769230769230769,0.9834508299827576,0.5330597355221158,0.9780405759811401
1994,Brazil,Brazil,Brazil,Brazil,1,1,1,1,1,1,0.5192307692307693,0.9425179362297058,0.550812240272006,0.9316931962966919
1998,France,Brazil,France,Brazil,0,1,0,2,1,1,0.546875,0.9402616024017334,0.5895814513700692,0.8904277086257935
2002,Brazil,Brazil,Brazil,Brazil,1,1,1,1,1,1,0.59375,0.9758578538894653,0.5747890565072872,0.9082304835319519
2006,Italy,Germany,Italy,Germany,0,1,0,2,1,1,0.640625,0.8586350083351135,0.5698180886497566,0.9068652391433716
2010,Spain,Spain,Spain,Spain,1,1,1,1,1,1,0.515625,1.0200350284576416,0.5825266214908035,0.890125036239624
2014,Germany,Brazil,Argentina,Brazil,0,0,0,3,1,1,0.546875,1.0205397605895996,0.5717294640767611,0.9065099358558655
2018,France,England,France,England,0,1,0,4,0,1,0.515625,0.9872552156448364,0.5849056603773585,0.9095367789268494
2022,Argentina,Argentina,Argentina,Argentina,1,1,1,1,1,1,0.53125,1.0664759874343872,0.5918691801044742,0.8709150552749634
