year,actual_winner,predicted_winner,predicted_winner_prob,actual_winner_prob,actual_rank,correct
1930,Uruguay,Uruguay,0.454,0.454,1,1
1934,Italy,Austria,0.397,0.265,2,0
1938,Italy,Hungary,0.403,0.315,2,0
1950,Uruguay,Brazil,0.269,0.014,7,0
1954,Germany,Germany,0.209,0.209,1,1
1958,Brazil,Hungary,0.376,0.068,4,0
1962,Brazil,Russia,0.192,0.147,3,0
1966,England,England,0.284,0.284,1,1
1970,Brazil,England,0.445,0.051,6,0
1974,Germany,Germany,0.474,0.474,1,1
1978,Argentina,Argentina,0.192,0.192,1,1
1982,Italy,Argentina,0.375,0.031,6,0
1986,Argentina,England,0.221,0.022,13,0
1990,Germany,Italy,0.17,0.116,5,0
1994,Brazil,Italy,0.22,0.031,10,0
1998,France,Brazil,0.446,0.098,3,0
2002,Brazil,France,0.389,0.021,9,0
2006,Italy,Germany,0.152,0.026,12,0
2010,Spain,Spain,0.299,0.299,1,1
2014,Germany,Brazil,0.351,0.064,4,0
2018,France,Spain,0.197,0.056,7,0
2022,Argentina,Argentina,0.349,0.349,1,1
