year,actual_winner,predicted_winner,predicted_winner_prob,actual_winner_prob,actual_rank,correct
1934,Italy,Italy,0.759237130032655,0.759237130032655,1,1
1938,Italy,France,0.6805136909098805,0.18446283277711645,2,0
1950,Uruguay,Italy,0.9975363159079851,0.8568251050228466,2,0
1954,Germany,Uruguay,0.9290064498030202,0.10970655298069083,3,0
1958,Brazil,Germany,0.9764546937497447,0.022037508038361565,8,0
1962,Brazil,Brazil,0.9795614077542762,0.9795614077542762,1,1
1966,England,Brazil,0.8844984124737775,0.02793092581584253,6,0
1970,Brazil,Brazil,0.9957008672275343,0.9957008672275343,1,1
1974,Germany,Germany,0.25023890286825895,0.25023890286825895,1,1
1978,Argentina,Italy,0.9999999987552521,0.7782401728861456,2,0
1982,Italy,Brazil,0.8745789869146718,0.03951141128759974,5,0
1986,Argentina,Germany,0.3308794507624793,0.00445361026247318,15,0
1990,Germany,Argentina,0.7670771077576589,0.002663919404655737,11,0
1994,Brazil,Argentina,0.32767782829783076,0.11489020995929083,3,0
1998,France,Argentina,0.07293700146059548,0.05494901971884092,2,0
2002,Brazil,South Korea,0.994133628108482,0.04677961366047675,10,0
2006,Italy,Argentina,0.7181693284894745,0.022942847245154285,6,0
2010,Spain,Argentina,0.8518760722756615,0.003545683155548209,12,0
2014,Germany,Spain,0.9749586221838589,0.15183124935531256,6,0
2018,France,Germany,0.9087878175868617,0.8684227098933605,2,0
2022,Argentina,France,0.969947857015185,0.6349303781616201,3,0
