feature,importance
football_power_index,0.1420900872997881
elo_rating,0.14151460653272444
is_former_champion,0.09942612032033624
football_tradition,0.09327122114404898
population,0.02867680871933963
population_log,0.027965053325096148
population_vs_avg,0.027235867048638524
years_since_last_final,0.026497527191942826
population_rank,0.021693669097136162
wc_semifinals_before,0.01834887800213027
pop_density,0.016630273453834932
fdi_pct_gdp,0.016465456794135195
wc_finals_before,0.015470850044963047
years_since_last_win,0.015326349350322746
is_host,0.013835759392853962
gdp_total_rank,0.013833192733584061
gdp_per_capita_rank,0.013539946663493667
wc_titles_before,0.012528101523143462
is_strong_sa,0.012166322336780588
trade_pct_gdp,0.01191895146275544
investment_pct_gdp,0.010785561099391505
wc_participations_before,0.010689264820137127
military_spending_pct_gdp,0.010294248824608686
military_personnel,0.00968190405404789
edu_spending_pct_gdp,0.00967450977465404
gdp_per_capita_vs_avg,0.009482238875886511
population_growth,0.009162188365431392
gdp_growth,0.009152197806251159
tertiary_enrollment,0.009029479245228338
air_transport_passengers,0.008110218746706104
fifa_rank_inverse,0.007969604534626853
urbanization_pct,0.00789566823788068
fifa_rank,0.007643288518609139
gini_index,0.0071292155824813856
gdp_total,0.007125462103947992
govt_spending_pct_gdp,0.006842366685431688
secondary_enrollment,0.006238537350319029
unemployment,0.006130853078226387
gdp_total_log,0.0061135496418883994
inflation,0.00588796773847533
decade,0.005825471142910116
years_since_last_wc,0.005769134430651619
internet_users_pct,0.005409679109103651
physicians_per_1000,0.005264577884728176
num_teams_in_tournament,0.005092595537056894
gdp_per_capita,0.004865468470156699
life_expectancy,0.00454588141540258
under5_mortality,0.004024342437885078
infant_mortality,0.0036633899215594025
is_strong_europe,0.0034149467148170648
gdp_per_capita_log,0.0033837742159488456
is_south_america,0.0033285937177302454
rd_spending_pct_gdp,0.003094498445654752
literacy_rate,0.002913325651641243
health_spending_pct_gdp,0.0027205544675132356
is_europe,0.0018177121032488903
electricity_access_pct,0.0011833005214494186
is_north_america,0.00011636986676166
is_asia,9.301642450231556e-05
is_africa,2.5381172875794033e-17
pop_pct_young,0.0
regulatory_quality,0.0
voice_accountability,0.0
political_stability,0.0
control_corruption,0.0
govt_effectiveness,0.0
rule_of_law,0.0
scientific_articles,0.0
is_oceania,0.0
