fold_year,auc,precision,recall,f1,brier
1930,0.9090909090909091,0.0,0.0,0.0,0.06447134950003025
1934,1.0,0.5,1.0,0.6666666666666666,0.03001557989549623
1938,0.9230769230769231,0.0,0.0,0.0,0.04531887752504234
1950,0.9166666666666666,0.0,0.0,0.0,0.07964381086884112
1954,0.7333333333333334,0.0,0.0,0.0,0.09704228137069028
1958,0.9285714285714285,0.5,1.0,0.6666666666666666,0.046050018134575724
1962,1.0,0.0,0.0,0.0,0.030701362804700056
1966,0.9333333333333333,0.0,0.0,0.0,0.0597401527897997
1970,0.9333333333333333,0.0,0.0,0.0,0.04998588153197949
1974,0.9285714285714286,0.0,0.0,0.0,0.05562779953046196
1978,0.9285714285714286,0.0,0.0,0.0,0.04683186305084394
1982,0.9090909090909091,0.0,0.0,0.0,0.03646910980315537
1986,1.0,0.0,0.0,0.0,0.030423527674006266
1990,,0.0,0.0,0.0,0.012844437479860022
1994,0.9523809523809523,0.0,0.0,0.0,0.033451965116320675
1998,0.9655172413793104,0.0,0.0,0.0,0.025841012305345478
2002,0.8,0.0,0.0,0.0,0.03715207765876076
2006,0.896551724137931,0.0,0.0,0.0,0.030851426893364165
2010,0.8333333333333334,0.0,0.0,0.0,0.034817276504359784
2014,0.8275862068965517,0.0,0.0,0.0,0.03654169961595899
2018,0.9032258064516129,0.0,0.0,0.0,0.027067310845307745
2022,0.8666666666666667,0.0,0.0,0.0,0.032258301050930666
