feature,importance
elo_rating,3.658062
football_power_index,1.4566004
is_former_champion,0.95653224
years_since_last_wc,0.54719776
wc_participations_before,0.54682803
military_spending_pct_gdp,0.340466
is_host,0.32739228
years_since_last_win,0.29043937
edu_spending_pct_gdp,0.26361135
gdp_growth,0.24146509
football_tradition,0.24021332
fdi_pct_gdp,0.23396245
unemployment,0.20553999
population_vs_avg,0.17357132
pop_density,0.13950184
decade,0.12469408
wc_semifinals_before,0.123561695
gdp_per_capita_rank,0.122379445
military_personnel,0.119991526
population_growth,0.11836715
trade_pct_gdp,0.11343478
tertiary_enrollment,0.10309654
years_since_last_final,0.102239065
air_transport_passengers,0.09864899
population_rank,0.09459456
is_europe,0.09315838
investment_pct_gdp,0.087451756
internet_users_pct,0.051561855
is_strong_europe,0.04552341
gdp_per_capita,0.044687465
urbanization_pct,0.041376386
num_teams_in_tournament,0.040124286
gdp_total,0.03979949
life_expectancy,0.036585864
population,0.034749255
under5_mortality,0.031582415
gini_index,0.027691869
physicians_per_1000,0.026733061
gdp_per_capita_vs_avg,0.020553762
health_spending_pct_gdp,0.019752908
wc_titles_before,0.018704258
rd_spending_pct_gdp,0.018463062
infant_mortality,0.018419927
gdp_total_rank,0.017079374
fifa_rank,0.01601452
inflation,0.013045783
literacy_rate,0.012426645
gdp_per_capita_log,0.010651347
population_log,0.009981313
govt_spending_pct_gdp,0.009838528
secondary_enrollment,0.009350413
is_south_america,0.004572775
wc_finals_before,0.0024275007
gdp_total_log,0.0019393394
control_corruption,0.0
electricity_access_pct,0.0
is_north_america,0.0
is_africa,0.0
govt_effectiveness,0.0
fifa_rank_inverse,0.0
is_asia,0.0
is_strong_sa,0.0
is_oceania,0.0
political_stability,0.0
pop_pct_young,0.0
regulatory_quality,0.0
rule_of_law,0.0
scientific_articles,0.0
voice_accountability,0.0
