feature,rank_univariate_fdr,rank_logistic_abscoef,rank_rf,rank_xgb,rank_shap_or_perm,n_methods_present,n_methods_top10,avg_rank,category
elo_rating,2.0,3.0,2.0,8.0,1.0,5,5,3.2,football
is_former_champion,1.0,,3.0,1.0,3.0,4,4,2.0,football
football_power_index,6.0,,1.0,2.0,2.0,4,4,2.75,football
football_tradition,3.0,4.0,4.0,42.0,11.0,5,3,12.8,football
wc_semifinals_before,9.0,9.0,10.0,43.0,17.0,5,3,17.6,football
is_host,5.0,12.0,15.0,22.0,7.0,5,2,12.2,other
population_rank,13.0,,9.0,9.0,25.0,4,2,14.0,demographics
wc_participations_before,14.0,8.0,22.0,34.0,5.0,5,2,16.6,football
years_since_last_win,8.0,14.0,14.0,40.0,8.0,5,2,16.8,football
years_since_last_final,7.0,15.0,8.0,46.0,23.0,5,2,19.8,football
population_log,15.0,10.0,6.0,20.0,49.0,5,2,20.0,demographics
is_strong_sa,4.0,2.0,19.0,69.0,62.0,5,2,31.2,geography
fdi_pct_gdp,40.0,,12.0,4.0,12.0,4,1,17.0,economy
pop_density,41.0,,11.0,3.0,15.0,4,1,17.5,demographics
trade_pct_gdp,19.0,5.0,20.0,24.0,21.0,5,1,17.8,economy
population_vs_avg,22.0,,7.0,29.0,14.0,4,1,18.0,demographics
population,31.0,,5.0,17.0,35.0,4,1,22.0,demographics
tertiary_enrollment,32.0,,29.0,7.0,22.0,4,1,22.5,other
military_personnel,44.0,,24.0,5.0,19.0,4,1,23.0,other
fifa_rank,18.0,6.0,33.0,15.0,45.0,5,1,23.4,football
edu_spending_pct_gdp,39.0,,25.0,31.0,9.0,4,1,26.0,economy
gdp_total_rank,17.0,7.0,16.0,49.0,44.0,5,1,26.6,economy
wc_finals_before,10.0,,13.0,37.0,53.0,4,1,28.25,football
years_since_last_wc,42.0,,42.0,32.0,4.0,4,1,30.0,football
military_spending_pct_gdp,59.0,,23.0,33.0,6.0,4,1,30.25,economy
gdp_growth,53.0,,28.0,35.0,10.0,4,1,31.5,economy
internet_users_pct,47.0,,43.0,10.0,28.0,4,1,32.0,infrastructure
is_south_america,11.0,1.0,52.0,54.0,52.0,5,1,34.0,geography
gdp_per_capita_log,61.0,,51.0,6.0,48.0,4,1,41.5,economy
wc_titles_before,12.0,,18.0,13.0,41.0,4,0,21.0,football
gdp_per_capita_rank,34.0,,17.0,27.0,18.0,4,0,24.0,economy
air_transport_passengers,38.0,,30.0,11.0,24.0,4,0,25.75,infrastructure
urbanization_pct,27.0,,32.0,14.0,31.0,4,0,26.0,demographics
investment_pct_gdp,37.0,,21.0,25.0,27.0,4,0,27.5,economy
population_growth,55.0,,27.0,16.0,20.0,4,0,29.5,demographics
unemployment,43.0,,38.0,26.0,13.0,4,0,30.0,economy
decade,26.0,,41.0,41.0,16.0,4,0,31.0,other
inflation,21.0,,40.0,21.0,46.0,4,0,32.0,economy
is_strong_europe,20.0,13.0,50.0,52.0,29.0,5,0,32.8,geography
fifa_rank_inverse,16.0,11.0,31.0,64.0,60.0,5,0,36.4,football
secondary_enrollment,46.0,,37.0,12.0,51.0,4,0,36.5,other
gdp_total,30.0,,35.0,50.0,33.0,4,0,37.0,economy
govt_spending_pct_gdp,36.0,,36.0,28.0,50.0,4,0,37.5,economy
num_teams_in_tournament,25.0,,45.0,48.0,32.0,4,0,37.5,other
gini_index,58.0,,34.0,23.0,37.0,4,0,38.0,economy
infant_mortality,45.0,,49.0,19.0,43.0,4,0,39.0,health
health_spending_pct_gdp,23.0,,55.0,39.0,40.0,4,0,39.25,economy
gdp_per_capita_vs_avg,60.0,,26.0,38.0,39.0,4,0,40.75,economy
rd_spending_pct_gdp,50.0,,53.0,18.0,42.0,4,0,40.75,economy
physicians_per_1000,48.0,,44.0,36.0,38.0,4,0,41.5,health
life_expectancy,56.0,,47.0,30.0,34.0,4,0,41.75,health
gdp_total_log,24.0,,39.0,53.0,54.0,4,0,42.5,economy
gdp_per_capita,57.0,,46.0,44.0,30.0,4,0,44.25,economy
is_europe,51.0,,56.0,51.0,26.0,4,0,46.0,geography
under5_mortality,54.0,,48.0,47.0,36.0,4,0,46.25,health
literacy_rate,49.0,,54.0,45.0,47.0,4,0,48.75,other
electricity_access_pct,35.0,,57.0,63.0,56.0,4,0,52.75,infrastructure
is_africa,28.0,,60.0,66.0,58.0,4,0,53.0,geography
is_north_america,33.0,,58.0,65.0,57.0,4,0,53.25,geography
is_asia,29.0,,59.0,68.0,61.0,4,0,54.25,geography
control_corruption,,,65.0,61.0,55.0,3,0,60.333333333333336,institutions
govt_effectiveness,,,66.0,58.0,59.0,3,0,61.0,institutions
regulatory_quality,,,62.0,55.0,66.0,3,0,61.0,institutions
political_stability,,,64.0,56.0,64.0,3,0,61.333333333333336,institutions
pop_pct_young,,,61.0,60.0,65.0,3,0,62.0,demographics
is_oceania,52.0,,69.0,67.0,63.0,4,0,62.75,geography
voice_accountability,,,63.0,57.0,69.0,3,0,63.0,institutions
rule_of_law,,,67.0,59.0,67.0,3,0,64.33333333333333,institutions
scientific_articles,,,68.0,62.0,68.0,3,0,66.0,other
