feature,importance
is_former_champion,0.16281947
football_power_index,0.11896481
pop_density,0.047538437
fdi_pct_gdp,0.044023987
military_personnel,0.041781746
gdp_per_capita_log,0.03205259
tertiary_enrollment,0.03176377
elo_rating,0.030575795
population_rank,0.028694645
internet_users_pct,0.027827036
air_transport_passengers,0.0273675
secondary_enrollment,0.024517613
wc_titles_before,0.021570608
urbanization_pct,0.01866948
fifa_rank,0.018523451
population_growth,0.017891554
population,0.017810619
rd_spending_pct_gdp,0.015621679
infant_mortality,0.015308122
population_log,0.0147499805
inflation,0.0142736975
is_host,0.012276241
gini_index,0.011383972
trade_pct_gdp,0.011147597
investment_pct_gdp,0.010670627
unemployment,0.010569071
gdp_per_capita_rank,0.010483524
govt_spending_pct_gdp,0.010352668
population_vs_avg,0.010347756
life_expectancy,0.010159925
edu_spending_pct_gdp,0.009407638
years_since_last_wc,0.009246241
military_spending_pct_gdp,0.008886496
wc_participations_before,0.008824353
gdp_growth,0.008363993
physicians_per_1000,0.007826643
wc_finals_before,0.007501186
gdp_per_capita_vs_avg,0.0072621927
health_spending_pct_gdp,0.0068075643
years_since_last_win,0.006279773
decade,0.006200046
football_tradition,0.0061614336
wc_semifinals_before,0.006140952
gdp_per_capita,0.004908711
literacy_rate,0.004393222
years_since_last_final,0.0038053796
under5_mortality,0.0032931669
num_teams_in_tournament,0.0029506143
gdp_total_rank,0.0028518513
gdp_total,0.0025442613
is_europe,0.0025425302
is_strong_europe,0.0022242179
gdp_total_log,0.0010821681
is_south_america,0.00075738144
regulatory_quality,0.0
political_stability,0.0
voice_accountability,0.0
govt_effectiveness,0.0
rule_of_law,0.0
pop_pct_young,0.0
control_corruption,0.0
scientific_articles,0.0
electricity_access_pct,0.0
fifa_rank_inverse,0.0
is_north_america,0.0
is_africa,0.0
is_oceania,0.0
is_asia,0.0
is_strong_sa,0.0
