fold_year,auc,precision,recall,f1,brier
1930,0.9090909090909091,0.0,0.0,0.0,0.10491159558296204
1934,1.0,0.5,1.0,0.6666666666666666,0.06453771889209747
1938,0.9230769230769231,0.0,0.0,0.0,0.06517000496387482
1950,0.9166666666666667,0.0,0.0,0.0,0.125716432929039
1954,0.6666666666666667,0.0,0.0,0.0,0.10929086804389954
1958,0.9285714285714285,0.0,0.0,0.0,0.08076324313879013
1962,1.0,1.0,1.0,1.0,0.00013185758143663406
1966,0.9333333333333333,0.0,0.0,0.0,0.058674298226833344
1970,1.0,0.5,1.0,0.6666666666666666,0.0457969531416893
1974,1.0,1.0,1.0,1.0,0.004388162400573492
1978,1.0,0.0,0.0,0.0,0.04447994753718376
1982,0.9545454545454546,0.0,0.0,0.0,0.05700070038437843
1986,1.0,1.0,1.0,1.0,0.011054472997784615
1990,,0.0,0.0,0.0,0.021154073998332024
1994,1.0,1.0,1.0,1.0,0.007308703847229481
1998,0.9655172413793104,0.0,0.0,0.0,0.02632984332740307
2002,0.8,0.0,0.0,0.0,0.05047040060162544
2006,0.9310344827586207,0.0,0.0,0.0,0.050591468811035156
2010,1.0,0.0,0.0,0.0,0.01885753870010376
2014,0.896551724137931,0.0,0.0,0.0,0.040689099580049515
2018,1.0,0.0,0.0,0.0,0.01797644793987274
2022,0.9333333333333333,0.0,0.0,0.0,0.038719065487384796
