feature,importance
elo_rating,0.47423556
gdp_per_capita_vs_winner,0.33732384
football_power_index,0.08035325
population_vs_winner,0.06858914
is_former_champion,0.013632624
wc_semifinals_before,0.0051809084
years_since_last_win,0.0042833025
trade_pct_gdp,0.0036329543
population_vs_avg,0.0033406701
population_growth,0.002525461
inflation,0.0014729367
urbanization_pct,0.0013332044
investment_pct_gdp,0.0012141934
military_spending_pct_gdp,0.0010547624
gdp_growth,0.0009961983
is_strong_europe,0.0008310164
is_host,0.0
population,0.0
gdp_total_rank,0.0
gdp_per_capita_rank,0.0
gdp_total,0.0
avg_goals_per_match,0.0
gdp_per_capita,0.0
total_goals_in_tournament,0.0
num_teams_in_tournament,0.0
wc_titles_before,0.0
years_since_last_final,0.0
years_since_last_wc,0.0
wc_participations_before,0.0
wc_finals_before,0.0
under5_mortality,0.0
life_expectancy,0.0
infant_mortality,0.0
fdi_pct_gdp,0.0
air_transport_passengers,0.0
population_rank,0.0
population_log,0.0
pop_density,0.0
gdp_per_capita_log,0.0
is_europe,0.0
gdp_total_log,0.0
is_oceania,0.0
is_north_america,0.0
is_asia,0.0
is_africa,0.0
is_south_america,0.0
football_tradition,0.0
gdp_per_capita_vs_avg,0.0
is_strong_sa,0.0
